"","Var1","Var2","Var3","value","L1"
"1",1,"Female",1,0.536917602740542,"USfixed_preIFQ"
"2",2,"Female",1,0.536917602740542,"USfixed_preIFQ"
"3",3,"Female",1,0.536917602740542,"USfixed_preIFQ"
"4",4,"Female",1,0.536917602740542,"USfixed_preIFQ"
"5",5,"Female",1,0.536917602740542,"USfixed_preIFQ"
"6",6,"Female",1,0.536917602740542,"USfixed_preIFQ"
"7",1,"Male",1,0.340706713213983,"USfixed_preIFQ"
"8",2,"Male",1,0.340706713213983,"USfixed_preIFQ"
"9",3,"Male",1,0.340706713213983,"USfixed_preIFQ"
"10",4,"Male",1,0.340706713213983,"USfixed_preIFQ"
"11",5,"Male",1,0.340706713213983,"USfixed_preIFQ"
"12",6,"Male",1,0.340706713213983,"USfixed_preIFQ"
"13",1,"Female",2,0.737326625978145,"USfixed_preIFQ"
"14",2,"Female",2,0.737326625978145,"USfixed_preIFQ"
"15",3,"Female",2,0.737326625978145,"USfixed_preIFQ"
"16",4,"Female",2,0.737326625978145,"USfixed_preIFQ"
"17",5,"Female",2,0.737326625978145,"USfixed_preIFQ"
"18",6,"Female",2,0.737326625978145,"USfixed_preIFQ"
"19",1,"Male",2,0.463513358951474,"USfixed_preIFQ"
"20",2,"Male",2,0.463513358951474,"USfixed_preIFQ"
"21",3,"Male",2,0.463513358951474,"USfixed_preIFQ"
"22",4,"Male",2,0.463513358951474,"USfixed_preIFQ"
"23",5,"Male",2,0.463513358951474,"USfixed_preIFQ"
"24",6,"Male",2,0.463513358951474,"USfixed_preIFQ"
"25",1,"Female",3,0.871725227029965,"USfixed_preIFQ"
"26",2,"Female",3,0.871725227029965,"USfixed_preIFQ"
"27",3,"Female",3,0.871725227029965,"USfixed_preIFQ"
"28",4,"Female",3,0.871725227029965,"USfixed_preIFQ"
"29",5,"Female",3,0.871725227029965,"USfixed_preIFQ"
"30",6,"Female",3,0.871725227029965,"USfixed_preIFQ"
"31",1,"Male",3,0.590911209669935,"USfixed_preIFQ"
"32",2,"Male",3,0.590911209669935,"USfixed_preIFQ"
"33",3,"Male",3,0.590911209669935,"USfixed_preIFQ"
"34",4,"Male",3,0.590911209669935,"USfixed_preIFQ"
"35",5,"Male",3,0.590911209669935,"USfixed_preIFQ"
"36",6,"Male",3,0.590911209669935,"USfixed_preIFQ"
"37",1,"Female",4,0.942701737476575,"USfixed_preIFQ"
"38",2,"Female",4,0.942701737476575,"USfixed_preIFQ"
"39",3,"Female",4,0.942701737476575,"USfixed_preIFQ"
"40",4,"Female",4,0.942701737476575,"USfixed_preIFQ"
"41",5,"Female",4,0.942701737476575,"USfixed_preIFQ"
"42",6,"Female",4,0.942701737476575,"USfixed_preIFQ"
"43",1,"Male",4,0.707168900642425,"USfixed_preIFQ"
"44",2,"Male",4,0.707168900642425,"USfixed_preIFQ"
"45",3,"Male",4,0.707168900642425,"USfixed_preIFQ"
"46",4,"Male",4,0.707168900642425,"USfixed_preIFQ"
"47",5,"Male",4,0.707168900642425,"USfixed_preIFQ"
"48",6,"Male",4,0.707168900642425,"USfixed_preIFQ"
"49",1,"Female",5,0.975509142337174,"USfixed_preIFQ"
"50",2,"Female",5,0.975509142337174,"USfixed_preIFQ"
"51",3,"Female",5,0.975509142337174,"USfixed_preIFQ"
"52",4,"Female",5,0.975509142337174,"USfixed_preIFQ"
"53",5,"Female",5,0.975509142337174,"USfixed_preIFQ"
"54",6,"Female",5,0.975509142337174,"USfixed_preIFQ"
"55",1,"Male",5,0.801486901634164,"USfixed_preIFQ"
"56",2,"Male",5,0.801486901634164,"USfixed_preIFQ"
"57",3,"Male",5,0.801486901634164,"USfixed_preIFQ"
"58",4,"Male",5,0.801486901634164,"USfixed_preIFQ"
"59",5,"Male",5,0.801486901634164,"USfixed_preIFQ"
"60",6,"Male",5,0.801486901634164,"USfixed_preIFQ"
"61",1,"Female",6,0.989736447246182,"USfixed_preIFQ"
"62",2,"Female",6,0.989736447246182,"USfixed_preIFQ"
"63",3,"Female",6,0.989736447246182,"USfixed_preIFQ"
"64",4,"Female",6,0.989736447246182,"USfixed_preIFQ"
"65",5,"Female",6,0.989736447246182,"USfixed_preIFQ"
"66",6,"Female",6,0.989736447246182,"USfixed_preIFQ"
"67",1,"Male",6,0.870968982642079,"USfixed_preIFQ"
"68",2,"Male",6,0.870968982642079,"USfixed_preIFQ"
"69",3,"Male",6,0.870968982642079,"USfixed_preIFQ"
"70",4,"Male",6,0.870968982642079,"USfixed_preIFQ"
"71",5,"Male",6,0.870968982642079,"USfixed_preIFQ"
"72",6,"Male",6,0.870968982642079,"USfixed_preIFQ"
"73",1,"Female",7,0.995734917881606,"USfixed_preIFQ"
"74",2,"Female",7,0.995734917881606,"USfixed_preIFQ"
"75",3,"Female",7,0.995734917881606,"USfixed_preIFQ"
"76",4,"Female",7,0.995734917881606,"USfixed_preIFQ"
"77",5,"Female",7,0.995734917881606,"USfixed_preIFQ"
"78",6,"Female",7,0.995734917881606,"USfixed_preIFQ"
"79",1,"Male",7,0.91860134936494,"USfixed_preIFQ"
"80",2,"Male",7,0.91860134936494,"USfixed_preIFQ"
"81",3,"Male",7,0.91860134936494,"USfixed_preIFQ"
"82",4,"Male",7,0.91860134936494,"USfixed_preIFQ"
"83",5,"Male",7,0.91860134936494,"USfixed_preIFQ"
"84",6,"Male",7,0.91860134936494,"USfixed_preIFQ"
"85",1,"Female",8,0.998233874875245,"USfixed_preIFQ"
"86",2,"Female",8,0.998233874875245,"USfixed_preIFQ"
"87",3,"Female",8,0.998233874875245,"USfixed_preIFQ"
"88",4,"Female",8,0.998233874875245,"USfixed_preIFQ"
"89",5,"Female",8,0.998233874875245,"USfixed_preIFQ"
"90",6,"Female",8,0.998233874875245,"USfixed_preIFQ"
"91",1,"Male",8,0.949666190923609,"USfixed_preIFQ"
"92",2,"Male",8,0.949666190923609,"USfixed_preIFQ"
"93",3,"Male",8,0.949666190923609,"USfixed_preIFQ"
"94",4,"Male",8,0.949666190923609,"USfixed_preIFQ"
"95",5,"Male",8,0.949666190923609,"USfixed_preIFQ"
"96",6,"Male",8,0.949666190923609,"USfixed_preIFQ"
"97",1,"Female",9,0.99926974017849,"USfixed_preIFQ"
"98",2,"Female",9,0.99926974017849,"USfixed_preIFQ"
"99",3,"Female",9,0.99926974017849,"USfixed_preIFQ"
"100",4,"Female",9,0.99926974017849,"USfixed_preIFQ"
"101",5,"Female",9,0.99926974017849,"USfixed_preIFQ"
"102",6,"Female",9,0.99926974017849,"USfixed_preIFQ"
"103",1,"Male",9,0.969272076297298,"USfixed_preIFQ"
"104",2,"Male",9,0.969272076297298,"USfixed_preIFQ"
"105",3,"Male",9,0.969272076297298,"USfixed_preIFQ"
"106",4,"Male",9,0.969272076297298,"USfixed_preIFQ"
"107",5,"Male",9,0.969272076297298,"USfixed_preIFQ"
"108",6,"Male",9,0.969272076297298,"USfixed_preIFQ"
"109",1,"Female",10,0.999698234837706,"USfixed_preIFQ"
"110",2,"Female",10,0.999698234837706,"USfixed_preIFQ"
"111",3,"Female",10,0.999698234837706,"USfixed_preIFQ"
"112",4,"Female",10,0.999698234837706,"USfixed_preIFQ"
"113",5,"Female",10,0.999698234837706,"USfixed_preIFQ"
"114",6,"Female",10,0.999698234837706,"USfixed_preIFQ"
"115",1,"Male",10,0.981390779504656,"USfixed_preIFQ"
"116",2,"Male",10,0.981390779504656,"USfixed_preIFQ"
"117",3,"Male",10,0.981390779504656,"USfixed_preIFQ"
"118",4,"Male",10,0.981390779504656,"USfixed_preIFQ"
"119",5,"Male",10,0.981390779504656,"USfixed_preIFQ"
"120",6,"Male",10,0.981390779504656,"USfixed_preIFQ"
"121",1,"Female",11,0.999875332992524,"USfixed_preIFQ"
"122",2,"Female",11,0.999875332992524,"USfixed_preIFQ"
"123",3,"Female",11,0.999875332992524,"USfixed_preIFQ"
"124",4,"Female",11,0.999875332992524,"USfixed_preIFQ"
"125",5,"Female",11,0.999875332992524,"USfixed_preIFQ"
"126",6,"Female",11,0.999875332992524,"USfixed_preIFQ"
"127",1,"Male",11,0.988785319323094,"USfixed_preIFQ"
"128",2,"Male",11,0.988785319323094,"USfixed_preIFQ"
"129",3,"Male",11,0.988785319323094,"USfixed_preIFQ"
"130",4,"Male",11,0.988785319323094,"USfixed_preIFQ"
"131",5,"Male",11,0.988785319323094,"USfixed_preIFQ"
"132",6,"Male",11,0.988785319323094,"USfixed_preIFQ"
"133",1,"Female",12,0.999948502183014,"USfixed_preIFQ"
"134",2,"Female",12,0.999948502183014,"USfixed_preIFQ"
"135",3,"Female",12,0.999948502183014,"USfixed_preIFQ"
"136",4,"Female",12,0.999948502183014,"USfixed_preIFQ"
"137",5,"Female",12,0.999948502183014,"USfixed_preIFQ"
"138",6,"Female",12,0.999948502183014,"USfixed_preIFQ"
"139",1,"Male",12,0.99326174710694,"USfixed_preIFQ"
"140",2,"Male",12,0.99326174710694,"USfixed_preIFQ"
"141",3,"Male",12,0.99326174710694,"USfixed_preIFQ"
"142",4,"Male",12,0.99326174710694,"USfixed_preIFQ"
"143",5,"Male",12,0.99326174710694,"USfixed_preIFQ"
"144",6,"Male",12,0.99326174710694,"USfixed_preIFQ"
"145",1,"Female",13,0.999978728042732,"USfixed_preIFQ"
"146",2,"Female",13,0.999978728042732,"USfixed_preIFQ"
"147",3,"Female",13,0.999978728042732,"USfixed_preIFQ"
"148",4,"Female",13,0.999978728042732,"USfixed_preIFQ"
"149",5,"Female",13,0.999978728042732,"USfixed_preIFQ"
"150",6,"Female",13,0.999978728042732,"USfixed_preIFQ"
"151",1,"Male",13,0.99595867656033,"USfixed_preIFQ"
"152",2,"Male",13,0.99595867656033,"USfixed_preIFQ"
"153",3,"Male",13,0.99595867656033,"USfixed_preIFQ"
"154",4,"Male",13,0.99595867656033,"USfixed_preIFQ"
"155",5,"Male",13,0.99595867656033,"USfixed_preIFQ"
"156",6,"Male",13,0.99595867656033,"USfixed_preIFQ"
"157",1,"Female",14,0.99999121345011,"USfixed_preIFQ"
"158",2,"Female",14,0.99999121345011,"USfixed_preIFQ"
"159",3,"Female",14,0.99999121345011,"USfixed_preIFQ"
"160",4,"Female",14,0.99999121345011,"USfixed_preIFQ"
"161",5,"Female",14,0.99999121345011,"USfixed_preIFQ"
"162",6,"Female",14,0.99999121345011,"USfixed_preIFQ"
"163",1,"Male",14,0.997578813735549,"USfixed_preIFQ"
"164",2,"Male",14,0.997578813735549,"USfixed_preIFQ"
"165",3,"Male",14,0.997578813735549,"USfixed_preIFQ"
"166",4,"Male",14,0.997578813735549,"USfixed_preIFQ"
"167",5,"Male",14,0.997578813735549,"USfixed_preIFQ"
"168",6,"Male",14,0.997578813735549,"USfixed_preIFQ"
"169",1,"Female",15,0.999996370672796,"USfixed_preIFQ"
"170",2,"Female",15,0.999996370672796,"USfixed_preIFQ"
"171",3,"Female",15,0.999996370672796,"USfixed_preIFQ"
"172",4,"Female",15,0.999996370672796,"USfixed_preIFQ"
"173",5,"Female",15,0.999996370672796,"USfixed_preIFQ"
"174",6,"Female",15,0.999996370672796,"USfixed_preIFQ"
"175",1,"Male",15,0.998550395040762,"USfixed_preIFQ"
"176",2,"Male",15,0.998550395040762,"USfixed_preIFQ"
"177",3,"Male",15,0.998550395040762,"USfixed_preIFQ"
"178",4,"Male",15,0.998550395040762,"USfixed_preIFQ"
"179",5,"Male",15,0.998550395040762,"USfixed_preIFQ"
"180",6,"Male",15,0.998550395040762,"USfixed_preIFQ"
"181",1,"Female",16,0.999998500893269,"USfixed_preIFQ"
"182",2,"Female",16,0.999998500893269,"USfixed_preIFQ"
"183",3,"Female",16,0.999998500893269,"USfixed_preIFQ"
"184",4,"Female",16,0.999998500893269,"USfixed_preIFQ"
"185",5,"Female",16,0.999998500893269,"USfixed_preIFQ"
"186",6,"Female",16,0.999998500893269,"USfixed_preIFQ"
"187",1,"Male",16,0.999132436183611,"USfixed_preIFQ"
"188",2,"Male",16,0.999132436183611,"USfixed_preIFQ"
